transition_events,,,,,
type ,message,stateModel,currentState,order,CEID
CJCMD,ControlJobStop,ControlJob,QUEUED,1,5802
CJCMD,ControlJobCancel,ControlJob,QUEUED,1,5802
CJEVENT,ControlJobSelected,ControlJob,QUEUED,1,5803
CJCMD,ControlJobDeselect,ControlJob,SELECTED,1,5804
CJEVENT,AutoStart,ControlJob,SELECTED,1,5805
CJEVENT,WaitingForStart,ControlJob,SELECTED,1,5806
CJCMD,ManualStart,ControlJob,WAITINGFORSTART,1,5807
CJCMD,ControlJobPause,ControlJob,EXECUTING,1,5808
CJCMD,ControlJobResume,ControlJob,PAUSED,1,5809
CJEVENT,ControlJobCompleted,ControlJob,EXECUTING,1,5810
CJCMD,ControlJobAbort,ControlJob,SELECTED,1,5812
CJCMD,ControlJobAbort,ControlJob,WAITINGFORSTART,1,5812
CJCMD,ControlJobAbort,ControlJob,EXECUTING,1,5812
CJCMD,ControlJobAbort,ControlJob,PAUSED,1,5812
CJCMD,ControlJobStop,ControlJob,SELECTED,1,5811
CJCMD,ControlJobStop,ControlJob,WAITINGFORSTART,1,5811
CJCMD,ControlJobStop,ControlJob,EXECUTING,1,5811
CJCMD,ControlJobStop,ControlJob,PAUSED,1,5811
CJEVENT,ControlJobDeleted,ControlJob,COMPLETED,1,5813
